City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,tateyama,JP,78.01,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
293,portland,AU,82.0,few clouds,45.52,-122.68,Portland Marriott City Center
294,calafell,ES,81.0,overcast clouds,41.2,1.57,Hotel Kursaal Calafell Playa
298,college,US,66.2,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
304,lagoa,PT,73.26,clear sky,39.05,-27.98,Casa Das Faias
305,broome,AU,82.0,clear sky,42.25,-75.83,Chenango Valley State Park
310,caravelas,BR,68.67,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
312,pakxan,LA,74.61,light rain,18.38,103.66,Kong Kham Pheng Guesthouse
313,zhanakorgan,KZ,79.07,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
315,belmonte,BR,68.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
320,torbat-e jam,IR,70.23,clear sky,35.24,60.62,ساختمان مسکونی فلورا
322,sembe,CG,71.35,light rain,1.65,14.58,
323,bela vista,BR,65.35,clear sky,-22.11,-56.52,Bella Vista Palace Hotel
324,yarmouth,CA,80.6,clear sky,41.71,-70.23,The Inn At Cape Cod
325,muros,ES,66.0,clear sky,42.78,-9.06,Apartment Av. Castelao
328,mitu,CO,81.48,broken clouds,1.2,-70.17,
330,teramo,IT,80.01,few clouds,42.65,13.68,Hotel Gran Sasso
333,frei paulo,BR,78.8,scattered clouds,-10.55,-37.53,Restaurante e Pousada Nossa Senhora De Fátima
335,miandrivazo,MG,70.38,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
348,shahpur,IN,73.56,broken clouds,16.7,76.83,Sai Deluxe Shahapur
349,kirundo,BI,73.4,few clouds,-2.58,30.17,Maranatha Hotel
351,miraflores,CO,78.8,broken clouds,19.22,-98.81,Hotel Mansión
352,salalah,OM,77.0,haze,17.02,54.09,HAMDAN PLAZA HOTEL
358,santa elena,MX,71.6,broken clouds,-2.23,-80.85,HOTEL CISNE II
360,anqing,CN,80.71,clear sky,30.51,117.05,Hongtian Hotel
361,corn island,NI,81.88,clear sky,12.17,-83.04,Big Fish Guest House
362,durres,AL,73.4,clear sky,41.32,19.44,Palace Hotel & Spa Durres
363,banda aceh,ID,79.97,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
365,nioro,ML,74.52,overcast clouds,13.35,-15.75,
368,presidente epitacio,BR,66.92,clear sky,-21.76,-52.12,Hotel Itaverá
370,benguela,AO,68.27,scattered clouds,-12.58,13.41,Hotel Praia Morena
377,quattro castella,IT,71.01,scattered clouds,44.63,10.47,Ristorante Albergo La Maddalena
378,eyl,SO,75.88,broken clouds,7.98,49.82,Amiin Hotel
379,augusto correa,BR,76.57,moderate rain,-1.02,-46.63,Fazenda Bacuri
382,palauig,PH,81.21,broken clouds,15.44,119.9,Myhousebythesea
383,iwanai,JP,68.77,scattered clouds,42.97,140.51,いわない高原ホテル
388,las margaritas,MX,66.33,moderate rain,16.32,-91.98,Hotel Nolaska
390,ilam,NP,65.88,clear sky,26.92,87.92,Chiyabari Cottage
397,horta,PT,73.38,clear sky,38.53,-28.63,Hotel do Canal | Horta - Faial
401,takoradi,GH,74.07,few clouds,4.88,-1.76,Raybow International Hotel
407,nchelenge,ZM,73.96,broken clouds,-9.35,28.73,Mweru Water Transport
410,melfi,TD,79.0,clear sky,41.0,15.65,HOTEL TERME DI RAPOLLA
412,piombino,IT,79.0,clear sky,42.93,10.52,Hotel Ariston
413,abu samrah,QA,69.64,clear sky,35.3,37.18,
415,cilegon,ID,77.0,haze,-6.02,106.05,Forbis Hotel
418,aksu,CN,74.01,clear sky,41.12,80.26,Pudong Holiday Hotel
419,pangoa,PE,75.16,clear sky,-12.12,-73.0,
420,fairbanks,US,66.2,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
424,kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
428,kieta,PG,79.07,overcast clouds,-6.22,155.63,
431,la pila,MX,75.2,few clouds,22.05,-100.87,Zar San Luis Potosi
435,gizo,SB,80.8,overcast clouds,-8.1,156.84,Imagination Island
436,sola,VU,81.27,light rain,-13.88,167.55,Leumerus Bungalows
438,hoquiam,US,69.01,clear sky,46.98,-123.89,Econo Lodge Inn & Suites
441,dawlatabad,AF,80.31,clear sky,36.41,64.91,WASIM ASGAR KHAN
444,vinh,VN,80.04,broken clouds,18.67,105.67,Hotels Shanghai
446,grand baie,MU,71.01,scattered clouds,-20.02,57.58,Canonnier Beachcomber Golf Resort & Spa
