City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Severo-Kurilsk,RU,2020-08-19 23:27:58,50.68,156.12,53.65,92,100,4.56
132,Yaring,TH,2020-08-19 23:27:58,6.87,101.37,77.61,88,100,5.48
133,Dikson,RU,2020-08-19 23:27:59,73.51,80.55,47.84,77,0,13.96
134,Katsuura,JP,2020-08-19 23:27:59,35.13,140.3,84.0,81,26,1.01
135,Berbera,SO,2020-08-19 23:27:59,10.44,45.01,89.49,49,17,21.43
136,Yellowknife,CA,2020-08-19 23:28:00,62.46,-114.35,57.2,100,75,9.17
137,Alofi,NU,2020-08-19 23:28:00,-19.06,-169.92,84.2,79,75,12.75
138,Ngunguru,NZ,2020-08-19 23:28:00,-35.62,174.5,61.0,58,71,8.99
139,San Patricio,MX,2020-08-19 23:28:00,19.22,-104.7,86.0,74,75,11.41
140,New Norfolk,AU,2020-08-19 23:28:00,-42.78,147.06,52.0,79,82,5.01
141,Saint-Philippe,RE,2020-08-19 23:28:01,-21.36,55.77,69.01,68,75,2.24
142,Hay River,CA,2020-08-19 23:28:01,60.82,-115.8,68.0,56,75,18.34
143,Tiksi,RU,2020-08-19 23:28:01,71.69,128.87,39.79,86,98,6.06
144,Copiapo,CL,2020-08-19 23:26:22,-27.37,-70.33,51.8,81,0,10.29
145,Tiznit,MA,2020-08-19 23:28:01,29.58,-9.5,67.1,68,0,2.06
146,Nijar,ES,2020-08-19 23:28:02,36.97,-2.21,77.0,88,0,1.12
147,Sao Filipe,CV,2020-08-19 23:28:02,14.9,-24.5,77.4,79,49,12.77
148,Kapaa,US,2020-08-19 23:28:02,22.08,-159.32,84.2,66,1,14.99
149,Townsville,AU,2020-08-19 23:28:03,-19.25,146.8,78.01,65,20,8.05
150,Verkhoyansk,RU,2020-08-19 23:28:03,67.54,133.38,43.18,63,86,11.1
151,Severo-Yeniseyskiy,RU,2020-08-19 23:28:03,60.37,93.04,52.18,99,100,4.94
152,Adur,IN,2020-08-19 23:28:04,9.17,76.73,74.59,95,100,2.64
